#OTU ID	JQ1	JQ10	JQ11	JQ12	JQ13	JQ14	JQ15	JQ2	JQ3	JQ4	JQ5	JQ6	JQ7	JQ8	JQ9	PLJ1	PLJ11	PLJ12	PLJ13	PLJ14	PLJ15	PLJ16	PLJ17	PLJ18	PLJ2	PLJ3	PLJ4	PLJ6	PLJ8	PLJ9
80c06745d84db948a93f61e83611b783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b555b94022e48da761f0e726f86adff8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d9083ab488544ccbbae8682c950e2544	0	0	0	0	0	8	0	0	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9cb39a253b8d4d3fcbb0a06b2105021d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19c8b33153ecbc5ab139b86ed996a90e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8df2b2e6c1cb64bd18b81d5bae7f0898	0	0	0	291	0	26	20	0	0	40	0	0	28	0	285	0	0	0	0	0	0	0	14	97	0	0	0	0	0	0
b930800211c656659820e8a8a4842528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9d44112042789d5622f6500148cdc388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3833fb89680e0c1b788c137cde4ef3af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27ebc9ae884f2286b7c089b13489da81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
