ASV	Taxon	Phylum	Class	Order	Family	Genus	Species
66c2407baa0687e6b49fdebd6dd8a388	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Uncultured	Uncultured	Uncultured bacterium
09832919d1b8588836e8c9c47d40e858	Bacteria	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
281ad4426210456fa3b0e8242b892136	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unknown
b3ea26305d029351364b25b087b77ba3	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Elsteraceae	Uncultured	Uncultured bacterium
cace2ee69696b96add0b847fd8d87893	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	WD2101 soil group	Uncultured planctomycete
dc71c53fbdb6a1281c22cb2de2fb4d74	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Uncultured	Unknown
e70a47dc84279d60c683abf23282751a	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	bacterium enrichment
220a7a1db23c72b7b1ed504f84cbe962	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured bacterium
9f674bac7d55dc63a9831dfcaa25a9fc	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Uncultured	Uncultured	Uncultured bacterium
3a34d69259d45d51d6fe9ca86272540b	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	Uncultured soil
c344f7500eb64398267ebe92ca6079b0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	Unknown
11e8c4f53822256ed06eb07feb5c871a	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	Subgroup 2	Subgroup 2	Metagenome
aa4a7da60cbfadf333c660778816fa41	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	Unknown
f659f0c52c0332ce4567ebef8bcce6f0	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured bacterium
17b824c394dc5d28b8825d15d30d1364	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Unknown
14dc2c202236709dc77f10773e3ccb75	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Unknown	Unknown
c858d6208ed47cdfd2a1042bbfb4014c	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	Uncultured bacterium
a39cf7d99f827376fd76ac6babc459f8	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured bacterium
68649c0c1cada4944b79036a803a93a6	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	Unknown
5a322df6aab3cec6be0e454b1de0d11d	Bacteria	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
2297089420e0dd89adaf674cbedc9e29	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	actinobacterium BGR
5c103a85c1b82430258ab2b3ec1f2fe0	Bacteria	Actinobacteriota	Acidimicrobiia	Uncultured	Uncultured	Uncultured	Unknown
25c4f4b4593d1e76736d53e66dba9aba	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	Uncultured bacterium
